Row Labels,001,003,005,007,009,011,013,015,017,019,021,023,025,027,029,031,033,035,037,039,041,043,045,nouse
5,37.987,40.235,11.95,171.413,64.63,39.604,68.327,57.029,37.044,77.386,116.187,56.448,31.791,23.862,7.306,96.475,18.899,17.355,132.19,3.56,17.907,59.437,30.31,nouse
15,36.017,55.566,44.758,122.197,15.677,56.772,7.849,28.791,17.453,63.2,35.536,39.708,41.18,38.087,91.679,38.528,49.491,33.818,127.041,0.445,50.536,26.905,13.812,nouse
25,55.751,55.923,44.626,50.401,36.78,44.137,52.642,44.818,1.999,22.637,60.521,32.286,10.583,1.109,146.763,46.288,67.606,15.7,129.857,45.925,35.018,22.691,48.272,nouse
35,42.659,19.241,28.558,42.658,18.591,62.844,85.949,30.153,0,38.529,37.677,14.517,20.325,18.278,63.898,26.235,27.592,39.3,63.76,2.22,5.657,8.545,42.346,nouse
45,26.887,18.192,16.544,51.346,18.03,10.226,80.85,4.076,25.815,0.992,27.77,15.701,11.279,9.008,1.898,6.2,29.661,28.364,30.541,9.575,26.053,8.958,2.94,nouse
55,16.101,12.603,22.788,22.362,4.876,21.488,48.913,2.056,9.518,1.816,10.778,46.888,8.618,10.15,57.92,0.612,15.532,10.215,9.65,40.558,17.693,18.938,4.544,nouse
65,15.396,10.299,74.876,20.225,6.672,20.071,27.527,6.104,3.678,0.349,23.355,42.49,2.5,0,58.495,2.175,12.84,27.341,21.908,36.965,8.926,13.377,23.887,nouse
75,13.056,6.392,19.828,3.786,6.128,11.626,33.687,22.696,0,10.789,12.579,32.108,26.672,7.925,32.374,2.123,2.771,50.304,8.651,6.148,4.542,9.533,22.642,nouse
85,11.132,39.314,8.187,13.469,18.783,1.047,3.057,14.138,1.793,0.585,18.725,18.431,41.119,31.967,30.551,15.638,2.232,34.303,8.159,4.896,3.329,7.207,1.112,nouse
95,2.399,11.53,6.213,1.994,2.737,0.337,13.44,13.437,5.916,0.138,35.602,3.708,22.04,15.044,11.031,0.732,0.441,0.287,7.255,20.389,1.033,10.362,0.582,nouse
105,0.712,8.124,16.801,12.805,37.226,0,50.138,2.235,0.481,0,9.912,0.761,11.484,15.172,11.518,0,0.995,4.083,2.754,1.07,0.525,6.443,0.21,nouse
115,3.073,1.971,15.296,18.675,6.637,0.707,8.707,1.495,13.079,0.482,6.773,0.492,36.388,0,2.214,3.337,3.481,9.433,6.677,9.739,0.538,0.755,4.658,nouse
125,0.753,2.302,2.576,12.78,33.119,0.724,8.207,0.579,0,28.122,2.92,0,11.295,0,1.123,1.223,7.354,1.888,28.672,0.666,0.281,0.286,0.881,nouse
135,2.332,4.028,6.379,2.092,0.927,0.898,9.738,0.226,3.69,18.886,11.602,2.273,21.259,0,5.055,0,1.766,0,0.4,0.485,0.823,0.427,5.638,nouse
145,2.356,0,2.65,3.021,0,0,9.1,0.318,0,32.704,4.678,4.437,3.071,0,6.382,0,0.435,2.7,10.946,0.583,3.218,0.131,0.499,nouse
155,24.498,0.421,1.711,7.918,0,13.25,6.038,0.744,1.616,23.653,5.117,15.247,25.285,0,0.441,0,1.611,4.955,3.639,0.966,2.307,0.11,0.376,nouse
165,0.97,0,13.709,0,0.065,11.257,8.038,5.724,0,5.341,5.815,5.359,13.648,0.237,1.137,0,10.255,0,3.599,2.133,2.379,0,0,nouse
175,1.389,0,7.251,0.313,2.972,0,16.27,0.309,0,0,5.215,0,3.594,0,1.055,0,5.378,3,3.18,3.871,0.556,0,0,nouse
185,0.996,0.583,10.702,0,0.792,1.8,16.572,0.27,5.385,0,4.11,0,3.38,0,1.104,0.721,3.365,0.372,1.437,0.106,1.106,0.772,1.654,nouse
195,2.269,1.462,18.648,0,0,0,1.68,2.738,0,0,5.395,8.4,0.576,0.311,0.088,0,2.131,0.326,1.43,1.626,0.811,0.08,0.767,nouse
250,6.916,1.6,61.062,2.133,6.009,33.131,24.715,8.711,1.573,8.725,28.332,13.696,48.557,0.218,26.815,4.193,30.826,1.477,23.758,42.255,12.941,1.14,0.173,nouse
350,5.696,2.034,19.847,3.371,52.361,0,9.334,1.544,1.028,8.708,53.594,0,15.247,0,2.203,70.35,15.515,1.265,6.503,11.775,2.134,1.904,0,nouse
450,29.883,0,6.437,43.245,4.134,0,1.554,1.685,0,0.738,35.783,1.71,22.76,0,4.112,0,4.103,0,42.835,10.092,40.173,0,0,nouse
550,25.066,0,2.681,36.692,0,0,2.036,0,0,0,29.096,0,12.87,0,0.467,0,1.831,0,85.063,2.785,12.036,0,0,nouse
650,3.809,0,2.593,2.312,0,0,1.651,0,0,0,5.44,0,3.57,0,0,0,0,0,14.908,0.41,6.238,0,0,nouse
750,2.524,0,1.841,0,0,0,1.151,0,0,0,9.854,0,3.962,0,0.79,0,0,0,2.77,1.205,0,0,0,nouse
850,0,0,0.557,0,0,0,0,0,0,0,15.998,0,2.441,0,0,0,0.849,0,4.141,3.325,0,0,0,nouse
950,0,0,0,0,0,0,0,0,0,0,3.768,0,2.881,0,0,0,0,0,0.253,0,0,0,0,nouse
1050,0,0,0,0,0,0,0,0,0,0,0.905,0,0.54,0,0,0,0,0,3.461,0,0,0,0,nouse
1150,0,0,0.54,0,0,0,0,0,0,0,0.396,0,0.833,0,0,0,0,0,0.734,1.4,0,0,0,nouse
1200,0,0,0.8,0,0,0,0,0,0,0,1.278,0,0,0,0,0,0,0,0.24,0.15,0,0,0,nouse
